ano_cadastro,estado,total_cars
2014,AC,9302
2014,AM,769
2014,RR,159
2014,AP,42
2014,TO,1133
2014,MA,1054
2014,PI,71
2014,CE,51
2014,RN,177
2014,PB,88
2014,PE,168
2014,AL,24
2014,SE,967
2014,BA,1112
2014,MG,23556
2014,RJ,1269
2014,SP,4449
2014,PR,9978
2014,SC,23231
2014,RS,370
2014,MT,13687
2014,GO,4185
2014,DF,473
2015,RO,25397
2015,AC,4986
2015,AM,5841
2015,RR,1108
2015,PA,54890
2015,AP,432
2015,TO,7334
2015,MA,12025
2015,PI,2484
2015,CE,3011
2015,RN,2531
2015,PB,4787
2015,PE,9106
2015,AL,2494
2015,SE,4131
2015,BA,8690
2015,MG,177900
2015,RJ,9957
2015,SP,35094
2015,PR,104021
2015,SC,108469
2015,RS,45481
2015,MT,16365
2015,GO,27718
2015,DF,1054
2016,RO,23609
2016,AC,7015
2016,AM,8700
2016,RR,1532
2016,PA,22978
2016,AP,1121
2016,TO,10708
2016,MA,21138
2016,PI,59375
2016,CE,26745
2016,RN,24553
2016,PB,38457
2016,PE,95064
2016,AL,28925
2016,SE,19253
2016,BA,44091
2016,MG,222163
2016,ES,1
2016,RJ,17564
2016,SP,25331
2016,PR,115324
2016,SC,74010
2016,RS,266559
2016,MS,7
2016,MT,16897
2016,GO,36897
2016,DF,4646
2017,RO,7129
2017,AC,1034
2017,AM,8782
2017,RR,783
2017,PA,18997
2017,AP,1484
2017,TO,9154
2017,MA,11110
2017,PI,25658
2017,CE,18108
2017,RN,7714
2017,PB,23924
2017,PE,33891
2017,AL,9227
2017,SE,8542
2017,BA,201230
2017,MG,55672
2017,ES,40279
2017,RJ,5106
2017,SP,9477
2017,PR,29767
2017,SC,15905
2017,RS,40677
2017,MS,49
2017,MT,1468
2017,GO,13315
2017,DF,3693
2018,RO,9226
2018,AC,1532
2018,AM,11245
2018,RR,1474
2018,PA,17034
2018,AP,1236
2018,TO,17707
2018,MA,12323
2018,PI,17236
2018,CE,73990
2018,RN,6341
2018,PB,17629
2018,PE,26143
2018,AL,12216
2018,SE,7774
2018,BA,159197
2018,MG,54656
2018,ES,20678
2018,RJ,4756
2018,SP,4063
2018,PR,23145
2018,SC,15061
2018,RS,26508
2018,MS,37
2018,MT,3878
2018,GO,11868
2018,DF,1508
2019,RO,9550
2019,AC,1449
2019,AM,6812
2019,RR,1175
2019,PA,18410
2019,AP,930
2019,TO,4742
2019,MA,50708
2019,PI,43741
2019,CE,74426
2019,RN,15413
2019,PB,25755
2019,PE,43743
2019,AL,21288
2019,SE,16502
2019,BA,153817
2019,MG,97067
2019,ES,10778
2019,RJ,4585
2019,SP,20526
2019,PR,42356
2019,SC,25134
2019,RS,55240
2019,MS,33471
2019,MT,11216
2019,GO,18996
2019,DF,1283
2020,RO,8498
2020,AC,2031
2020,AM,5706
2020,RR,1984
2020,PA,19359
2020,AP,877
2020,TO,4083
2020,MA,55460
2020,PI,36209
2020,CE,22204
2020,RN,8338
2020,PB,14268
2020,PE,32221
2020,AL,11841
2020,SE,9647
2020,BA,104730
2020,MG,75312
2020,ES,8986
2020,RJ,4707
2020,SP,10376
2020,PR,27531
2020,SC,16318
2020,RS,26803
2020,MS,9369
2020,MT,13404
2020,GO,15430
2020,DF,875
2021,RO,12129
2021,AC,2769
2021,AM,6736
2021,RR,7048
2021,PA,32872
2021,AP,1105
2021,TO,5621
2021,MA,49020
2021,PI,25041
2021,CE,21010
2021,RN,7644
2021,PB,14054
2021,PE,32582
2021,AL,9639
2021,SE,8492
2021,BA,109754
2021,MG,78565
2021,ES,7486
2021,RJ,3396
2021,SP,12513
2021,PR,29340
2021,SC,20719
2021,RS,28193
2021,MS,5840
2021,MT,29275
2021,GO,17127
2021,DF,1309
2022,RO,16001
2022,AC,4852
2022,AM,8177
2022,RR,2396
2022,PA,36686
2022,AP,1664
2022,TO,6508
2022,MA,35048
2022,PI,23047
2022,CE,33751
2022,RN,8465
2022,PB,14840
2022,PE,33026
2022,AL,9220
2022,SE,9458
2022,BA,95594
2022,MG,92375
2022,ES,7298
2022,RJ,3350
2022,SP,42061
2022,PR,33428
2022,SC,26187
2022,RS,34194
2022,MS,5273
2022,MT,18049
2022,GO,18048
2022,DF,1468
2023,RO,19279
2023,AC,5923
2023,AM,10341
2023,RR,2653
2023,PA,35918
2023,AP,2105
2023,TO,8556
2023,MA,54500
2023,PI,30941
2023,CE,46597
2023,RN,11306
2023,PB,18973
2023,PE,41029
2023,AL,10344
2023,SE,10600
2023,BA,118252
2023,MG,90422
2023,ES,9156
2023,RJ,3409
2023,SP,52280
2023,PR,38744
2023,SC,27115
2023,RS,42367
2023,MS,5703
2023,MT,18778
2023,GO,22138
2023,DF,1336
2024,RO,22839
2024,AC,6732
2024,AM,11058
2024,RR,3334
2024,PA,45746
2024,AP,2701
2024,TO,11735
2024,MA,48143
2024,PI,32940
2024,CE,45157
2024,RN,11946
2024,PB,20475
2024,PE,42124
2024,AL,12601
2024,SE,12365
2024,BA,120740
2024,MG,93047
2024,ES,10092
2024,RJ,4241
2024,SP,89977
2024,PR,50278
2024,SC,32982
2024,RS,50342
2024,MS,15982
2024,MT,19936
2024,GO,26747
2024,DF,1184
2025,RO,21631
2025,AC,6493
2025,AM,10018
2025,RR,3004
2025,PA,44043
2025,AP,2416
2025,TO,10698
2025,MA,39875
2025,PI,24277
2025,CE,29316
2025,RN,8223
2025,PB,16254
2025,PE,32305
2025,AL,9654
2025,SE,10108
2025,BA,115702
2025,MG,72546
